altname,wsname,indexofslash,from,to,quote,indexvertexfrom,indexvertexto
0GEUR,0G/EUR,2,0G,EUR,ZEUR,1,167
0GUSD,0G/USD,2,0G,USD,ZUSD,1,490
1INCHEUR,1INCH/EUR,5,1INCH,EUR,ZEUR,2,167
1INCHUSD,1INCH/USD,5,1INCH,USD,ZUSD,2,490
2ZEUR,2Z/EUR,2,2Z,EUR,ZEUR,3,167
2ZUSD,2Z/USD,2,2Z,USD,ZUSD,3,490
AAVEETH,AAVE/ETH,4,AAVE,ETH,XETH,5,163
AAVEEUR,AAVE/EUR,4,AAVE,EUR,ZEUR,5,167
AAVEGBP,AAVE/GBP,4,AAVE,GBP,ZGBP,5,194
AAVEUSD,AAVE/USD,4,AAVE,USD,ZUSD,5,490
AAVEXBT,AAVE/XBT,4,AAVE,XBT,XXBT,5,529
ABEUR,AB/EUR,2,AB,EUR,ZEUR,6,167
ABUSD,AB/USD,2,AB,USD,ZUSD,6,490
ACAEUR,ACA/EUR,3,ACA,EUR,ZEUR,7,167
ACAUSD,ACA/USD,3,ACA,USD,ZUSD,7,490
ACHEUR,ACH/EUR,3,ACH,EUR,ZEUR,8,167
ACHUSD,ACH/USD,3,ACH,USD,ZUSD,8,490
ACTEUR,ACT/EUR,3,ACT,EUR,ZEUR,9,167
ACTUSD,ACT/USD,3,ACT,USD,ZUSD,9,490
ACXEUR,ACX/EUR,3,ACX,EUR,ZEUR,10,167
ACXUSD,ACX/USD,3,ACX,USD,ZUSD,10,490
ADAAUD,ADA/AUD,3,ADA,AUD,ZAUD,11,54
ADAETH,ADA/ETH,3,ADA,ETH,XETH,11,163
ADAEUR,ADA/EUR,3,ADA,EUR,ZEUR,11,167
ADAGBP,ADA/GBP,3,ADA,GBP,ZGBP,11,194
ADAUSD,ADA/USD,3,ADA,USD,ZUSD,11,490
ADAUSDC,ADA/USDC,3,ADA,USDC,USDC,11,492
ADAUSDT,ADA/USDT,3,ADA,USDT,USDT,11,499
ADAXBT,ADA/XBT,3,ADA,XBT,XXBT,11,529
ADXEUR,ADX/EUR,3,ADX,EUR,ZEUR,12,167
ADXUSD,ADX/USD,3,ADX,USD,ZUSD,12,490
AEROEUR,AERO/EUR,4,AERO,EUR,ZEUR,13,167
AEROUSD,AERO/USD,4,AERO,USD,ZUSD,13,490
AEUR,A/EUR,1,A,EUR,ZEUR,4,167
AEVOEUR,AEVO/EUR,4,AEVO,EUR,ZEUR,14,167
AEVOUSD,AEVO/USD,4,AEVO,USD,ZUSD,14,490
AGLDEUR,AGLD/EUR,4,AGLD,EUR,ZEUR,15,167
AGLDUSD,AGLD/USD,4,AGLD,USD,ZUSD,15,490
AI16ZEUR,AI16Z/EUR,5,AI16Z,EUR,ZEUR,16,167
AI16ZUSD,AI16Z/USD,5,AI16Z,USD,ZUSD,16,490
AI16ZUSDC,AI16Z/USDC,5,AI16Z,USDC,USDC,16,492
AI16ZUSDT,AI16Z/USDT,5,AI16Z,USDT,USDT,16,499
AI3EUR,AI3/EUR,3,AI3,EUR,ZEUR,17,167
AI3USD,AI3/USD,3,AI3,USD,ZUSD,17,490
AIOZEUR,AIOZ/EUR,4,AIOZ,EUR,ZEUR,18,167
AIOZUSD,AIOZ/USD,4,AIOZ,USD,ZUSD,18,490
AIREUR,AIR/EUR,3,AIR,EUR,ZEUR,19,167
AIRUSD,AIR/USD,3,AIR,USD,ZUSD,19,490
AIXBTEUR,AIXBT/EUR,5,AIXBT,EUR,ZEUR,20,167
AIXBTUSD,AIXBT/USD,5,AIXBT,USD,ZUSD,20,490
AKEEUR,AKE/EUR,3,AKE,EUR,ZEUR,21,167
AKEUSD,AKE/USD,3,AKE,USD,ZUSD,21,490
AKTEUR,AKT/EUR,3,AKT,EUR,ZEUR,22,167
AKTUSD,AKT/USD,3,AKT,USD,ZUSD,22,490
ALCHEUR,ALCH/EUR,4,ALCH,EUR,ZEUR,23,167
ALCHUSD,ALCH/USD,4,ALCH,USD,ZUSD,23,490
ALCXEUR,ALCX/EUR,4,ALCX,EUR,ZEUR,24,167
ALCXUSD,ALCX/USD,4,ALCX,USD,ZUSD,24,490
ALGOETH,ALGO/ETH,4,ALGO,ETH,XETH,25,163
ALGOEUR,ALGO/EUR,4,ALGO,EUR,ZEUR,25,167
ALGOGBP,ALGO/GBP,4,ALGO,GBP,ZGBP,25,194
ALGOUSD,ALGO/USD,4,ALGO,USD,ZUSD,25,490
ALGOUSDC,ALGO/USDC,4,ALGO,USDC,USDC,25,492
ALGOUSDT,ALGO/USDT,4,ALGO,USDT,USDT,25,499
ALGOXBT,ALGO/XBT,4,ALGO,XBT,XXBT,25,529
ALICEEUR,ALICE/EUR,5,ALICE,EUR,ZEUR,26,167
ALICEUSD,ALICE/USD,5,ALICE,USD,ZUSD,26,490
ALKIMIEUR,ALKIMI/EUR,6,ALKIMI,EUR,ZEUR,27,167
ALKIMIUSD,ALKIMI/USD,6,ALKIMI,USD,ZUSD,27,490
ALPHAEUR,ALPHA/EUR,5,ALPHA,EUR,ZEUR,28,167
ALPHAUSD,ALPHA/USD,5,ALPHA,USD,ZUSD,28,490
ALTEUR,ALT/EUR,3,ALT,EUR,ZEUR,29,167
ALTHEAEUR,ALTHEA/EUR,6,ALTHEA,EUR,ZEUR,30,167
ALTHEAUSD,ALTHEA/USD,6,ALTHEA,USD,ZUSD,30,490
ALTUSD,ALT/USD,3,ALT,USD,ZUSD,29,490
ANIMEEUR,ANIME/EUR,5,ANIME,EUR,ZEUR,31,167
ANIMEUSD,ANIME/USD,5,ANIME,USD,ZUSD,31,490
ANKREUR,ANKR/EUR,4,ANKR,EUR,ZEUR,32,167
ANKRUSD,ANKR/USD,4,ANKR,USD,ZUSD,32,490
ANKRXBT,ANKR/XBT,4,ANKR,XBT,XXBT,32,529
ANLOGEUR,ANLOG/EUR,5,ANLOG,EUR,ZEUR,33,167
ANLOGUSD,ANLOG/USD,5,ANLOG,USD,ZUSD,33,490
ANONEUR,ANON/EUR,4,ANON,EUR,ZEUR,34,167
ANONUSD,ANON/USD,4,ANON,USD,ZUSD,34,490
APEEUR,APE/EUR,3,APE,EUR,ZEUR,35,167
APENFTEUR,APENFT/EUR,6,APENFT,EUR,ZEUR,36,167
APENFTUSD,APENFT/USD,6,APENFT,USD,ZUSD,36,490
APEUSD,APE/USD,3,APE,USD,ZUSD,35,490
APEUSDC,APE/USDC,3,APE,USDC,USDC,35,492
APEUSDT,APE/USDT,3,APE,USDT,USDT,35,499
API3EUR,API3/EUR,4,API3,EUR,ZEUR,37,167
API3USD,API3/USD,4,API3,USD,ZUSD,37,490
APREUR,APR/EUR,3,APR,EUR,ZEUR,38,167
APRUSD,APR/USD,3,APR,USD,ZUSD,38,490
APTEUR,APT/EUR,3,APT,EUR,ZEUR,39,167
APTUSD,APT/USD,3,APT,USD,ZUSD,39,490
APUEUR,APU/EUR,3,APU,EUR,ZEUR,40,167
APUUSD,APU/USD,3,APU,USD,ZUSD,40,490
ARBEUR,ARB/EUR,3,ARB,EUR,ZEUR,42,167
ARBUSD,ARB/USD,3,ARB,USD,ZUSD,42,490
ARCEUR,ARC/EUR,3,ARC,EUR,ZEUR,43,167
ARCUSD,ARC/USD,3,ARC,USD,ZUSD,43,490
AREUR,AR/EUR,2,AR,EUR,ZEUR,41,167
ARKMEUR,ARKM/EUR,4,ARKM,EUR,ZEUR,44,167
ARKMUSD,ARKM/USD,4,ARKM,USD,ZUSD,44,490
ARPAEUR,ARPA/EUR,4,ARPA,EUR,ZEUR,45,167
ARPAUSD,ARPA/USD,4,ARPA,USD,ZUSD,45,490
ARTEUR,ART/EUR,3,ART,EUR,ZEUR,46,167
ARTUSD,ART/USD,3,ART,USD,ZUSD,46,490
ARUSD,AR/USD,2,AR,USD,ZUSD,41,490
ASRREUR,ASRR/EUR,4,ASRR,EUR,ZEUR,47,167
ASRRUSD,ASRR/USD,4,ASRR,USD,ZUSD,47,490
ASTEREUR,ASTER/EUR,5,ASTER,EUR,ZEUR,48,167
ASTERUSD,ASTER/USD,5,ASTER,USD,ZUSD,48,490
ASTREUR,ASTR/EUR,4,ASTR,EUR,ZEUR,49,167
ASTRUSD,ASTR/USD,4,ASTR,USD,ZUSD,49,490
ATHEUR,ATH/EUR,3,ATH,EUR,ZEUR,50,167
ATHUSD,ATH/USD,3,ATH,USD,ZUSD,50,490
ATLASEUR,ATLAS/EUR,5,ATLAS,EUR,ZEUR,51,167
ATLASUSD,ATLAS/USD,5,ATLAS,USD,ZUSD,51,490
ATOMETH,ATOM/ETH,4,ATOM,ETH,XETH,52,163
ATOMEUR,ATOM/EUR,4,ATOM,EUR,ZEUR,52,167
ATOMGBP,ATOM/GBP,4,ATOM,GBP,ZGBP,52,194
ATOMUSD,ATOM/USD,4,ATOM,USD,ZUSD,52,490
ATOMUSDC,ATOM/USDC,4,ATOM,USDC,USDC,52,492
ATOMUSDT,ATOM/USDT,4,ATOM,USDT,USDT,52,499
ATOMXBT,ATOM/XBT,4,ATOM,XBT,XXBT,52,529
AUCTIONEUR,AUCTION/EUR,7,AUCTION,EUR,ZEUR,53,167
AUCTIONUSD,AUCTION/USD,7,AUCTION,USD,ZUSD,53,490
AUDIOEUR,AUDIO/EUR,5,AUDIO,EUR,ZEUR,55,167
AUDIOUSD,AUDIO/USD,5,AUDIO,USD,ZUSD,55,490
AUDJPY,AUD/JPY,3,AUD,JPY,ZJPY,54,234
AUDUSD,AUD/USD,3,AUD,USD,ZUSD,54,490
AURAEUR,AURA/EUR,4,AURA,EUR,ZEUR,56,167
AURAUSD,AURA/USD,4,AURA,USD,ZUSD,56,490
AUSD,A/USD,1,A,USD,ZUSD,4,490
AVAAIEUR,AVAAI/EUR,5,AVAAI,EUR,ZEUR,57,167
AVAAIUSD,AVAAI/USD,5,AVAAI,USD,ZUSD,57,490
AVAXEUR,AVAX/EUR,4,AVAX,EUR,ZEUR,58,167
AVAXUSD,AVAX/USD,4,AVAX,USD,ZUSD,58,490
AVAXUSDC,AVAX/USDC,4,AVAX,USDC,USDC,58,492
AVAXUSDT,AVAX/USDT,4,AVAX,USDT,USDT,58,499
AVNTEUR,AVNT/EUR,4,AVNT,EUR,ZEUR,59,167
AVNTUSD,AVNT/USD,4,AVNT,USD,ZUSD,59,490
AXSEUR,AXS/EUR,3,AXS,EUR,ZEUR,60,167
AXSUSD,AXS/USD,3,AXS,USD,ZUSD,60,490
B2EUR,B2/EUR,2,B2,EUR,ZEUR,61,167
B2USD,B2/USD,2,B2,USD,ZUSD,61,490
B3EUR,B3/EUR,2,B3,EUR,ZEUR,62,167
B3USD,B3/USD,2,B3,USD,ZUSD,62,490
BABYEUR,BABY/EUR,4,BABY,EUR,ZEUR,63,167
BABYUSD,BABY/USD,4,BABY,USD,ZUSD,63,490
BADGEREUR,BADGER/EUR,6,BADGER,EUR,ZEUR,64,167
BADGERUSD,BADGER/USD,6,BADGER,USD,ZUSD,64,490
BALEUR,BAL/EUR,3,BAL,EUR,ZEUR,65,167
BALUSD,BAL/USD,3,BAL,USD,ZUSD,65,490
