from,indexvertexfrom,to,indexvertexto,altname,unixtimestamp,date,open,high,low,close,vwap,volume,count
0G,1,EUR,167,0GEUR,1761868800,2025-10-31,1.009,1.059,0.940,0.945,0.998,55913.55474,216
0G,1,USD,490,0GUSD,1761868800,2025-10-31,1.168,1.227,1.077,1.090,1.156,197447.72333,934
1INCH,2,EUR,167,1INCHEUR,1761868800,2025-10-31,0.1396,0.1419,0.1374,0.1403,0.1395,28736.81263682,35
1INCH,2,USD,490,1INCHUSD,1761868800,2025-10-31,0.1602,0.1623,0.1583,0.1610,0.1595,12205.47902906,55
2Z,3,EUR,167,2ZEUR,1761868800,2025-10-31,0.16560,0.16740,0.15410,0.15890,0.16084,61324.93701,731
2Z,3,USD,490,2ZUSD,1761868800,2025-10-31,0.19152,0.19392,0.17720,0.18348,0.18463,182339.33897,1485
AAVE,5,ETH,163,AAVEETH,1761868800,2025-10-31,0.0566,0.0601,0.0562,0.0601,0.0585,16.93088587,31
AAVE,5,EUR,167,AAVEEUR,1761868800,2025-10-31,185.99,203.96,184.16,199.85,192.82,1266.51002808,1075
AAVE,5,GBP,194,AAVEGBP,1761868800,2025-10-31,165.27,176.89,162.54,175.32,166.97,47.59671343,50
AAVE,5,USD,490,AAVEUSD,1761868800,2025-10-31,215.04,235.39,212.24,231.12,224.73,6178.97537126,3075
AAVE,5,XBT,529,AAVEXBT,1761868800,2025-10-31,0.001993,0.002134,0.001962,0.002110,0.002009,58.00713569,66
AB,6,EUR,167,ABEUR,1761868800,2025-10-31,0.005480,0.005480,0.005412,0.005430,0.005444,913929.68852,28
AB,6,USD,490,ABUSD,1761868800,2025-10-31,0.006334,0.006348,0.006243,0.006271,0.006289,1635738.91851,106
ACA,7,EUR,167,ACAEUR,1761868800,2025-10-31,0.01523,0.01523,0.01428,0.01515,0.01515,4162.12150143,3
ACA,7,USD,490,ACAUSD,1761868800,2025-10-31,0.01752,0.01752,0.01649,0.01728,0.01714,7136.53940998,11
ACH,8,EUR,167,ACHEUR,1761868800,2025-10-31,0.01040,0.01078,0.01040,0.01052,0.01050,257249.71898887,43
ACH,8,USD,490,ACHUSD,1761868800,2025-10-31,0.01198,0.01243,0.01195,0.01201,0.01214,2228322.40960633,143
ACT,9,EUR,167,ACTEUR,1761868800,2025-10-31,0.01718,0.01799,0.01709,0.01752,0.01724,41958.25849,11
ACT,9,USD,490,ACTUSD,1761868800,2025-10-31,0.01988,0.02051,0.01966,0.02010,0.02013,282528.26162,57
ACX,10,EUR,167,ACXEUR,1761868800,2025-10-31,0.0547,0.0580,0.0547,0.0561,0.0562,55367.83338,33
ACX,10,USD,490,ACXUSD,1761868800,2025-10-31,0.0629,0.0724,0.0629,0.0657,0.0656,92033.97043,92
ADA,11,AUD,54,ADAAUD,1761868800,2025-10-31,0.91947,0.95651,0.91805,0.93024,0.93674,29144.39628894,67
ADA,11,ETH,163,ADAETH,1761868800,2025-10-31,0.0001584,0.0001599,0.0001566,0.0001576,0.0001585,66422.07732770,38
ADA,11,EUR,167,ADAEUR,1761868800,2025-10-31,0.520000,0.536838,0.518818,0.527995,0.528748,2766674.65871267,2849
ADA,11,GBP,194,ADAGBP,1761868800,2025-10-31,0.45638,0.47260,0.45586,0.46342,0.46411,246792.54998394,493
ADA,11,USD,490,ADAUSD,1761868800,2025-10-31,0.601000,0.619358,0.597357,0.609499,0.606225,7394835.85403981,6757
ADA,11,USDC,492,ADAUSDC,1761868800,2025-10-31,0.601229,0.621101,0.597932,0.607753,0.611342,542810.30211913,533
ADA,11,USDT,499,ADAUSDT,1761868800,2025-10-31,0.601613,0.619459,0.598916,0.609458,0.610414,959006.47282139,932
ADA,11,XBT,529,ADAXBT,1761868800,2025-10-31,0.00000555,0.00000561,0.00000550,0.00000555,0.00000554,275757.20201676,213
ADX,12,EUR,167,ADXEUR,1761868800,2025-10-31,0.13184,0.13184,0.10729,0.11426,0.11305,23652.95470795,52
ADX,12,USD,490,ADXUSD,1761868800,2025-10-31,0.14118,0.14799,0.12176,0.13156,0.13479,309227.42839487,541
AERO,13,EUR,167,AEROEUR,1761868800,2025-10-31,0.8873,0.9838,0.8873,0.9414,0.9401,44911.28653,151
AERO,13,USD,490,AEROUSD,1761868800,2025-10-31,1.0200,1.1560,1.0150,1.0773,1.0824,1498175.05187,5902
A,4,EUR,167,AEUR,1761868800,2025-10-31,0.2292,0.2339,0.2224,0.2314,0.2311,12592.56461,30
AEVO,14,EUR,167,AEVOEUR,1761868800,2025-10-31,0.0503,0.0508,0.0481,0.0490,0.0497,153912.01646,64
AEVO,14,USD,490,AEVOUSD,1761868800,2025-10-31,0.0573,0.0588,0.0552,0.0559,0.0564,159191.73582,240
